Código;Ativo;Tipo;Natureza;Status;Preço;Stop;Gain;Quantidade;Qtd. Executada;Preço Médio;Criado em;Módulo;Estratégia;Criado por;Validade;Cancelada em;Cancelada por;Atualizado em;
33140423;Tesouro IPCA+ com Juros Semestrais 2055;;Venda;Executada;237.96;;;0.05;0.05;4759.25;05/02/2021 11:56:57;Tesouro Direto;;Cliente;;;;05/02/2021 11:56:57;
509498084;WDOH21;A Mercado;Compra;Executada;;;;4;4;5375.50;05/02/2021 11:56:01;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 11:56:02;
509497252;WDOH21;Limitada;Compra;Cancelada;5367.50;;;4;0;;05/02/2021 11:55:35;Day Trade;;Cliente;05/02/2021 00:00:00;05/02/2021 11:56:01;Cliente;05/02/2021 11:56:01;
509496271;WDOH21;Limitada;Venda;Executada;5373;;;2;2;5373;05/02/2021 11:55:03;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 11:55:03;
509493869;WDOH21;Limitada;Compra;Cancelada;5366;;;2;0;;05/02/2021 11:53:41;Day Trade;;Cliente;05/02/2021 00:00:00;05/02/2021 11:55:07;Cliente;05/02/2021 11:55:07;
509493222;WDOH21;Limitada;Venda;Executada;5367;;;2;2;5367;05/02/2021 11:53:20;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 11:53:25;
509488670;WDOH21;Limitada;Compra;Executada;5365;;;2;2;5365;05/02/2021 11:50:41;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 11:51:12;
509488211;WDOH21;Limitada;Venda;Executada;5368;;;1;1;5368;05/02/2021 11:50:23;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 11:50:23;
509477415;WDOH21;Limitada;Compra;Cancelada;5362.50;;;1;0;;05/02/2021 11:44:14;Day Trade;;Cliente;05/02/2021 00:00:00;05/02/2021 11:50:29;Cliente;05/02/2021 11:50:29;
509476419;WDOH21;A Mercado;Venda;Executada;0;;;1;1;5366;05/02/2021 11:43:41;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 11:43:43;
509449684;ITSA4;A Mercado;Venda;Executada;10.68;;;500;500;10.79;05/02/2021 11:29:26;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 11:29:26;
509391126;ITSA4;Limitada;Venda;Cancelada;10.85;;;500;0;;05/02/2021 10:58:31;Day Trade;;Cliente;05/02/2021 00:00:00;05/02/2021 11:29:26;Cliente;05/02/2021 11:29:26;
509387148;ITSA4;A Mercado;Compra;Executada;0;;;500;500;10.84;05/02/2021 10:56:49;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 10:56:49;
509373917;EMBR3;A Mercado;Compra;Executada;9.67;;;300;300;9.57;05/02/2021 10:51:19;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 10:51:19;
509303461;EMBR3;Limitada;Compra;Cancelada;9.48;;;300;0;;05/02/2021 10:24:51;Day Trade;;Cliente;05/02/2021 00:00:00;05/02/2021 10:51:19;Cliente;05/02/2021 10:51:19;
509300892;EMBR3;Limitada;Compra;Cancelada;9.45;;;100;0;;05/02/2021 10:23:57;Day Trade;;Cliente;05/02/2021 00:00:00;05/02/2021 10:24:44;Cliente;05/02/2021 10:24:44;
509300675;EMBR3;Limitada;Compra;Cancelada;9.48;;;200;0;;05/02/2021 10:23:53;Day Trade;;Cliente;05/02/2021 00:00:00;05/02/2021 10:24:43;Cliente;05/02/2021 10:24:43;
509297995;EMBR3;Limitada;Venda;Executada;9.54;;;100;100;9.54;05/02/2021 10:22:55;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 10:22:55;
509294622;EMBR3;Limitada;Venda;Executada;9.54;;;100;100;9.54;05/02/2021 10:21:50;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 10:21:50;
509290982;EMBR3;Limitada;Venda;Executada;9.52;;;300;300;9.52;05/02/2021 10:20:32;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 10:21:02;
509248211;EMBR3;Limitada;Venda;Cancelada;9.62;;;200;0;;05/02/2021 10:05:11;Day Trade;;Cliente;05/02/2021 00:00:00;05/02/2021 10:19:28;Cliente;05/02/2021 10:19:28;
509247282;EMBR3;A Mercado;Compra;Executada;0;;;200;200;9.57;05/02/2021 10:04:47;Day Trade;;Cliente;05/02/2021 00:00:00;;;05/02/2021 10:04:47;
507253885;OIBR3F;Limitada;Venda;Aberta;2.34;;;11;0;;02/02/2021 11:10:09;Swing Trade;;Cliente;26/02/2021 00:00:00;;;03/02/2021 12:44:44;
505100666;LEVE3F;Limitada;Venda;Aberta;20.18;;;7;0;;28/01/2021 11:28:36;Swing Trade;;Cliente;30/12/2021 00:00:00;;;03/02/2021 12:44:29;
